From	To
Q8LBP6	3702.AT5G08410.1
Q9SH30	3702.AT1G63440.1
Q94JT6	3702.AT1G78070.1
Q5NFK5	177416.FTT_1229
P54645	10116.ENSRNOP00000017626
Q9UIQ6	9606.ENSP00000231368
Q9LMK7	3702.AT1G07140.1
Q9FVS1	3702.AT1G57790.1
P18596	10116.ENSRNOP00000060212
Q9M394	3702.AT3G54090.1
Q80U62	10090.ENSMUSP00000087114
Q8LCT2	3702.AT3G55605.1
Q99961	9606.ENSP00000269886
Q9QUH3	10116.ENSRNOP00000024918
Q9FFR3	3702.AT5G41670.2
Q9FFV9	3702.AT5G38620.1
Q6NX65	10116.ENSRNOP00000013585
Q96DX5	9606.ENSP00000369855
Q05941	10116.ENSRNOP00000045255
Q9WU00	10090.ENSMUSP00000110860
Q9C9D4	3702.AT1G72350.1
Q9LK77	3702.AT5G48370.1
Q8GYA2	3702.AT3G05250.1
Q9ES53	10116.ENSRNOP00000067081
O22826	3702.AT2G43770.1
Q9LUQ9	3702.AT3G16740.1
Q9SZP1	3702.AT4G38620.1
Q5FVH2	10116.ENSRNOP00000054004
Q14011	9606.ENSP00000466897
Q15393	9606.ENSP00000305790
Q9CAT7	3702.AT1G73230.1
Q9M0F9	3702.AT4G29220.1
Q920G2	10116.ENSRNOP00000004172
C0LGS3	3702.AT4G37250.1
Q9LYB4	3702.AT3G63080.1
P92941	3702.AT5G40890.1
Q8VD37	10090.ENSMUSP00000079553
Q96A61	9606.ENSP00000483005
Q38867	3702.AT3G56070.1
Q84K40	3702.AT4G30820.1
P04644	10116.ENSRNOP00000064320
O81127	3702.AT1G23860.1
P06882	10116.ENSRNOP00000009241
P17844	9606.ENSP00000225792
O23210	3702.AT4G36710.1
O48844	3702.AT2G32730.1
Q6ID77	3702.AT3G01435.1
Q9FHN8	3702.AT5G65930.3
Q9SVM8	3702.AT4G13850.1
Q94BP0	3702.AT5G62090.1
P21240	3702.AT1G55490.2
Q9M0V0	3702.AT4G05450.1
Q8L774	3702.AT1G07010.3
P40939	9606.ENSP00000370023
Q969R8	9606.ENSP00000228799
P58684	3702.AT2G39960.1
O04209	3702.AT2G40060.1
Q9STE8	3702.AT3G46740.1
P56571	10116.ENSRNOP00000001609
Q64550	10116.ENSRNOP00000025045
P42339	3702.AT1G60490.1
Q9ZW18	3702.AT2G29350.1
Q03250	3702.AT2G21660.1
Q9LH41	3702.AT3G19540.1
D4A9G6	10116.ENSRNOP00000033946
Q7Z3D6	9606.ENSP00000428263
Q9SPL2	3702.AT5G64920.1
Q7XJU1	3702.AT2G31730.1
Q39266	3702.AT1G24625.1
Q93ZT5	3702.AT3G63060.1
Q9LXD1	3702.AT5G09680.2
P51571	9606.ENSP00000317331
O14975	9606.ENSP00000267842
Q6NLQ6	3702.AT3G57530.1
P42777	3702.AT1G03970.1
P29067	10116.ENSRNOP00000026207
Q84K25	3702.AT5G11980.1
P50542	9606.ENSP00000391601
Q9LII8	3702.AT3G27960.1
O81005	3702.AT2G22880.1
Q9LDU3	3702.AT3G15430.2
Q9SRH6	3702.AT3G01290.1
O95989	9606.ENSP00000476119
P33671	10116.ENSRNOP00000041634
Q9FG68	3702.AT5G23000.1
Q7Z7G0	9606.ENSP00000284322
O04379	3702.AT1G48410.2
O49538	3702.AT5G65790.1
P60879	10090.ENSMUSP00000028727
P28492	10116.ENSRNOP00000018737
O14646	9606.ENSP00000483667
Q84JU4	3702.AT2G04550.1
P02091	10116.ENSRNOP00000048250
Q9FLL0	3702.AT5G41200.1
Q9GZV5	9606.ENSP00000419465
P41034	10116.ENSRNOP00000009611
Q9LV28	3702.AT3G18130.1
Q9S7Y7	3702.AT1G68560.1
Q93XM6	3702.AT1G08320.3
O43390	9606.ENSP00000363745
Q9UDY4	9606.ENSP00000359799
Q208N7	3702.AT1G06460.1
Q9SND4	3702.AT3G50330.1
O88763	10116.ENSRNOP00000060791
Q49AG3	9606.ENSP00000398106
Q9JIF7	10090.ENSMUSP00000033012
Q9P1Z2	9606.ENSP00000449960
Q9SD45	3702.AT3G51000.1
P08050	10116.ENSRNOP00000001054
Q9FZ88	3702.AT1G28140.1
P48004	10116.ENSRNOP00000011724
P10415	9606.ENSP00000381185
O70351	10116.ENSRNOP00000043608
P11530	10116.ENSRNOP00000029969
Q9ZV45	3702.AT2G18740.1
Q9SV15	3702.AT4G31550.1
P18654	10090.ENSMUSP00000033671
Q6NZI2	9606.ENSP00000349541
Q9CAR7	3702.AT1G69840.3
P0C0L4	9606.ENSP00000396688
Q9LS08	3702.AT3G25710.1
Q9LPT1	3702.AT1G50610.1
O80840	3702.AT2G45790.1
Q9LK72	3702.AT3G16530.1
Q9BWV1	9606.ENSP00000418663
P55199	9606.ENSP00000262809
P70580	10116.ENSRNOP00000017101
Q5I0H3	10116.ENSRNOP00000022048
O81793	3702.AT4G35610.1
B9DFS6	3702.AT5G07120.1
Q6NLB0	3702.AT5G02780.1
Q93ZJ3	3702.AT2G20585.1
Q9LN09	3702.AT1G07980.1
Q9FKA0	3702.AT5G39610.1
Q9FGL9	3702.AT5G53180.1
F1RFE3	9823.ENSSSCP00000008354
Q9T0I5	3702.AT4G38770.1
Q9FHJ2	3702.AT5G45440.1
Q4V8B5	10116.ENSRNOP00000040746
P35353	10116.ENSRNOP00000006764
Q70EL1	9606.ENSP00000345216
Q09325	10116.ENSRNOP00000044560
O80748	3702.AT1G60250.1
Q9FGR1	3702.AT5G52530.1
Q8H1D6	3702.AT5G10520.1
Q64428	10116.ENSRNOP00000038073
Q91ZU6	10090.ENSMUSP00000095392
Q07098	3702.AT1G10430.1
Q9SHJ0	3702.AT1G06450.1
Q94AW5	3702.AT5G25190.1
Q94A76	3702.AT5G37500.1
Q887D0	223283.PSPTO_1375
Q84VG7	3702.AT2G33835.1
O35254	10116.ENSRNOP00000024408
Q9ZVC2	3702.AT2G41370.1
Q8L765	3702.AT5G19000.2
Q9SJR5	3702.AT2G36400.1
Q9T053	3702.AT4G11850.1
F4IUY8	3702.AT2G39340.1
P63045	10116.ENSRNOP00000054114
Q9H6F5	9606.ENSP00000227520
Q94C20	3702.AT5G64160.1
Q94JQ3	3702.AT4G32520.1
O82638	3702.AT4G32960.1
Q12899	9606.ENSP00000410446
Q8H1G4	3702.AT4G37560.1
Q943Z4	3702.AT3G50560.1
B5DF80	10116.ENSRNOP00000023319
Q62640	10116.ENSRNOP00000031478
P42731	3702.AT4G34110.1
Q9S726	3702.AT3G04790.1
Q9SB92	3702.AT2G17950.1
O04983	3702.AT5G35360.3
Q9H6S0	9606.ENSP00000161863
Q13503	9606.ENSP00000282892
P45974	9606.ENSP00000229268
Q7KZ85	9606.ENSP00000319104
Q9FMW7	3702.AT5G23340.1
O24457	3702.AT1G01090.1
Q9M812	3702.AT1G52220.1
Q6P689	10116.ENSRNOP00000052120
Q8RYC6	3702.AT2G01200.2
D3ZQL4	10116.ENSRNOP00000022646
Q39192	3702.AT3G50500.2
Q8RV83	3702.AT2G31720.1
Q9LQF0	3702.AT1G35560.1
F1RKG1	9823.ENSSSCP00000010519
Q8W488	3702.AT1G33110.1
Q9S9P2	3702.AT1G15920.2
Q9M8J9	3702.AT3G06190.1
Q8L3R2	3702.AT3G50770.1
O81821	3702.AT5G16820.2
Q9UKY1	9606.ENSP00000297857
Q63279	10116.ENSRNOP00000019133
Q7XA66	3702.AT1G49590.1
Q8RYD6	3702.AT3G44460.1
Q6AYC9	10116.ENSRNOP00000031019
P11232	10116.ENSRNOP00000016447
P02563	10116.ENSRNOP00000023301
P48785	3702.AT4G29940.1
Q8GZ13	3702.AT1G18400.1
Q9EQX9	10116.ENSRNOP00000065259
Q92522	9606.ENSP00000329662
Q9SW27	3702.AT4G24990.1
P40307	10116.ENSRNOP00000015618
Q5FWT1	10116.ENSRNOP00000042004
Q5JVS0	9606.ENSP00000364398
Q6NQL4	3702.AT1G16340.4
Q62645	10116.ENSRNOP00000028615
Q9LUA2	3702.AT3G25890.2
Q9FMM0	3702.AT5G42990.1
Q8RWY5	3702.AT3G10040.1
Q9R0N9	10090.ENSMUSP00000073164
Q63198	10116.ENSRNOP00000006219
Q9LER7	3702.AT3G56910.1
Q9M811	3702.AT1G52240.1
P42866	10090.ENSMUSP00000101236
Q9BY12	9606.ENSP00000454973
Q9FHP6	3702.AT5G37740.2
P15385	10116.ENSRNOP00000006524
P42742	3702.AT3G60820.1
F4JS25	3702.AT4G37460.1
Q9SDN0	3702.AT4G13830.2
Q9SKU1	3702.AT2G20760.1
Q9LTV8	3702.AT3G12770.1
Q8W4L5	3702.AT2G30470.1
Q9SQY9	3702.AT3G10590.1
Q9FFA5	3702.AT5G23750.1
Q0WT24	3702.AT5G22890.1
Q9SZD1	3702.AT4G29000.1
F1M842	10116.ENSRNOP00000019025
Q06407	4932.YDR379W
Q8LGH4	3702.AT5G46210.1
P01887	10090.ENSMUSP00000099534
P26772	10116.ENSRNOP00000020066
P62850	10116.ENSRNOP00000048903
Q9FVU9	3702.AT1G71230.1
P92958	3702.AT3G29160.1
P35570	10116.ENSRNOP00000019579
Q13885	9606.ENSP00000369703
Q9LF53	3702.AT5G17490.1
P35434	10116.ENSRNOP00000020670
B4F7E7	10116.ENSRNOP00000012005
O94832	9606.ENSP00000324527
O80543	3702.AT1G22800.1
Q84TI6	3702.AT5G63610.1
Q67Z40	3702.AT1G54330.1
Q94C32	3702.AT4G37280.1
Q9M8J2	3702.AT3G06260.1
Q9LHA7	3702.AT3G28200.1
Q9LIC7	3702.AT3G13710.1
Q8VZD5	3702.AT5G14640.1
Q9SUV8	3702.AT4G22610.1
O22456	3702.AT1G24260.2
Q9FZ49	3702.AT1G16900.1
Q8LE56	3702.AT4G37240.1
B2RZ33	10116.ENSRNOP00000020330
Q93W54	3702.AT5G08335.1
P43255	3702.AT4G14110.1
Q91XS8	10116.ENSRNOP00000016857
Q9Y6Q2	9606.ENSP00000384615
Q9FGZ5	3702.AT5G49490.1
Q62600	10116.ENSRNOP00000013058
Q9FFF9	3702.AT5G05560.1
Q9FFG1	3702.AT5G05540.1
Q9LTB8	3702.AT5G47100.1
Q9SR02	3702.AT3G04740.1
Q16698	9606.ENSP00000220764
Q5BJX1	10116.ENSRNOP00000042070
Q9M1G6	3702.AT3G54620.1
Q93W93	3702.AT1G55270.1
O24407	3702.AT3G04730.1
Q6QLM7	10116.ENSRNOP00000007721
P60892	10116.ENSRNOP00000029405
A0MEB5	3702.AT1G47220.1
P49761	9606.ENSP00000378505
O04197	3702.AT2G39940.1
Q9FJ49	3702.AT5G45870.1
P24368	10116.ENSRNOP00000022828
Q9LX56	3702.AT3G59150.1
Q94C25	3702.AT5G20050.1
Q9C652	3702.AT1G58470.1
Q14527	9606.ENSP00000308944
Q3EAF9	3702.AT3G62260.2
Q9LM15	3702.AT1G22190.1
O80713	3702.AT2G47130.1
Q8VYT3	3702.AT4G30520.1
Q9LJL8	3702.AT3G19120.1
Q9ZV24	3702.AT2G28900.1
Q9LJN8	3702.AT3G19590.1
Q9FPE8	3702.AT1G25550.1
O82191	3702.AT2G19900.1
O23144	3702.AT4G27500.1
A0A1U7R1Q6	10036.XP_005079250.1
Q9LIF9	3702.AT3G21370.1
Q84JF2	3702.AT1G62850.2
Q15397	9606.ENSP00000380982
Q6AYT3	10116.ENSRNOP00000006570
Q39083	3702.AT1G56280.1
Q9SEE9	3702.AT1G16610.3
Q52LJ0	9606.ENSP00000380734
O35433	10116.ENSRNOP00000026493
Q8GUN5	3702.AT5G29000.2
P62916	10116.ENSRNOP00000015033
Q15050	9606.ENSP00000322396
D3ZGQ8	10116.ENSRNOP00000031549
Q8L7A6	3702.AT1G15385.1
O35921	10116.ENSRNOP00000009931
O80675	3702.AT2G41120.1
Q9FH80	3702.AT5G45300.1
O88382	10116.ENSRNOP00000059912
P42677	9606.ENSP00000357555
Q3E703	3702.AT1G12890.1
Q9XF67	3702.AT5G04510.1
P30937	10116.ENSRNOP00000066231
Q9T0I8	3702.AT4G38800.1
P15882	9606.ENSP00000386741
Q5M7W5	10116.ENSRNOP00000053011
Q8L4J2	3702.AT5G60940.1
F4HY32	3702.AT1G21630.2
Q8R2X8	10090.ENSMUSP00000027866
Q9NV70	9606.ENSP00000370695
Q8VZE5	3702.AT1G05410.1
Q66HR5	10116.ENSRNOP00000021522
Q8W5S1	3702.AT5G27620.1
O14818	9606.ENSP00000359910
Q9SVU0	3702.AT4G28720.1
Q8GWQ2	3702.AT4G14465.1
Q02166	3702.AT5G17990.1
Q9S7E4	3702.AT5G14780.1
P15104	9606.ENSP00000307900
Q9ZWC8	3702.AT1G55610.2
Q8VYZ1	3702.AT1G33050.4
O65202	3702.AT4G16760.1
Q8LG05	3702.AT4G00238.1
Q9UL40	9606.ENSP00000350869
P62282	10116.ENSRNOP00000061250
P42645	3702.AT5G16050.1
Q8LFT2	3702.AT2G14120.3
Q63468	10116.ENSRNOP00000013573
D3ZML2	10116.ENSRNOP00000051751
B4E2M5	9606.ENSP00000454770
A2RVK7	3702.AT4G27490.1
P25095	10116.ENSRNOP00000034687
P92974	3702.AT5G06460.1
Q93VJ4	3702.AT4G36540.1
O81445	3702.AT4G17615.1
Q9FF98	3702.AT5G23820.1
Q9LVW4	3702.AT3G27785.1
P27816	9606.ENSP00000353375
Q4QQW8	10116.ENSRNOP00000001872
Q99NA5	10116.ENSRNOP00000015102
Q9H2W1	9606.ENSP00000392770
O14979	9606.ENSP00000483254
Q9CAF4	3702.AT3G10650.1
Q9SQI2	3702.AT1G22770.1
P48623	3702.AT2G29980.1
Q9C099	9606.ENSP00000353538
P31647	10116.ENSRNOP00000008342
M0R9Q1	10116.ENSRNOP00000066228
Q9LM46	3702.AT1G22130.1
Q38838	3702.AT4G11880.1
Q8GUG7	3702.AT3G06980.1
F1LUA1	10116.ENSRNOP00000029575
O54943	10090.ENSMUSP00000066620
P63269	10116.ENSRNOP00000050322
D3ZUL1	10116.ENSRNOP00000025626
Q9STW1	3702.AT4G24330.1
Q9SJX8	3702.AT2G31180.1
Q9SKB2	3702.AT2G31880.1
Q8L3T0	3702.AT2G45010.1
Q494N8	3702.AT2G25890.1
D4A4D5	10116.ENSRNOP00000054740
Q9LZ66	3702.AT5G04590.1
O82804	3702.AT2G25930.1
Q5NIF4	177416.FTT_0118
P83731	9606.ENSP00000377640
Q9HBG7	9606.ENSP00000263285
P27732	10116.ENSRNOP00000051407
Q6IDA3	3702.AT5G52547.1
C0Z361	3702.AT5G56500.2
P55852	3702.AT4G26840.1
Q07021	9606.ENSP00000225698
Q9ZWA2	3702.AT1G03800.1
Q9SJA6	3702.AT2G24590.1
Q9M1K9	3702.AT3G42960.1
P47853	10116.ENSRNOP00000023920
Q8GUN1	3702.AT4G31340.1
Q15853	9606.ENSP00000222305
Q9M7X9	3702.AT3G06730.1
P70645	10116.ENSRNOP00000005125
Q945Q1	3702.AT5G12140.1
Q9XH28	3702.AT4G07670.1
Q99JD4	10116.ENSRNOP00000012545
O49279	3702.AT1G76920.1
D4ACB8	10116.ENSRNOP00000002169
Q9LU77	3702.AT5G57090.1
F4KG64	3702.AT5G52410.2
Q9SB42	3702.AT4G25210.1
Q9ZUL7	3702.AT2G02130.1
Q9SYG4	3702.AT1G54080.2
P63036	10116.ENSRNOP00000010061
P52188	10116.ENSRNOP00000054762
Q93WE4	3702.AT3G13672.2
Q9FI47	3702.AT5G51010.1
Q3EAL1	3702.AT3G52525.1
Q93VM6	3702.AT4G39900.1
P40940	3702.AT2G24765.1
P28841	10116.ENSRNOP00000007249
Q93Z00	3702.AT3G47620.1
Q9FR97	3702.AT3G11440.1
O94761	9606.ENSP00000482313
Q9CAD0	3702.AT1G63650.3
Q08775	10090.ENSMUSP00000109202
Q9NP97	9606.ENSP00000349679
Q39019	3702.AT1G09840.3
Q9FYJ6	3702.AT1G31050.1
Q9SAB3	3702.AT1G11650.2
Q6QIX3	10116.ENSRNOP00000008126
P01830	10116.ENSRNOP00000008685
Q38895	3702.AT3G23130.1
Q9ZRF9	3702.AT1G69270.1
O14974	9606.ENSP00000389168
Q8NA92	9606.ENSP00000292894
Q94AK8	3702.AT1G25260.1
Q96CN9	9606.ENSP00000318821
Q9FML2	3702.AT5G63110.1
Q00613	9606.ENSP00000431512
P04762	10116.ENSRNOP00000011230
Q3B7K9	10116.ENSRNOP00000035622
Q9LNJ7	3702.AT1G01240.3
O80506	3702.AT2G44670.1
Q9M033	3702.AT5G01400.1
P17077	10116.ENSRNOP00000041817
Q94AL6	3702.AT4G20150.1
P92973	3702.AT2G46830.1
Q8VZB5	3702.AT5G14260.1
Q94BR2	3702.AT5G19140.1
D3ZEN1	10116.ENSRNOP00000027935
Q6NMC6	3702.AT5G24310.1
P13803	10116.ENSRNOP00000020544
Q9ZVI3	3702.AT2G38610.1
Q9LZZ6	3702.AT3G60670.1
Q641Y8	10116.ENSRNOP00000009100
O22131	3702.AT2G45420.1
Q94AY3	3702.AT2G30580.1
Q3V810	4577.GRMZM2G058292_P01
Q08602	10116.ENSRNOP00000049261
P41499	10116.ENSRNOP00000041842
P17220	10116.ENSRNOP00000066950
Q39218	3702.AT3G13110.1
Q8L7W7	3702.AT3G01820.1
Q9ZW24	3702.AT2G29420.1
Q39244	3702.AT2G47580.1
Q9S9U2	3702.AT5G27090.1
Q96288	3702.AT1G06040.1
P49795	9606.ENSP00000378483
Q9Y5B9	9606.ENSP00000216297
Q9LSU9	3702.AT3G25545.1
D3ZKL4	10116.ENSRNOP00000046578
P37090	10116.ENSRNOP00000063755
P61978	9606.ENSP00000365439
Q9M1U2	3702.AT3G45170.1
P70441	10090.ENSMUSP00000021077
Q8GXI5	3702.AT1G79070.1
Q93XY4	3702.AT5G03990.1
Q29PY0	3702.AT1G01225.1
Q9SZG3	3702.AT4G37710.1
D3GKW6	3702.AT2G30432.1
D4ACN8	10116.ENSRNOP00000021545
